restId,name,cuisine,aggregate_rating,rating_votes,dining_rating,dining_review_count,delivery_rating,delivery_review_count,timing,people_say,top_dishes,address,location_longitude,location_latitude,url,cost_for_two
19331590,Huber & Holly,"Ice Cream, Desserts, Bakery, Fast Food, Italian, Beverages",3.8,70,3.8,70.0,4.4,956,11:30am – 11:30pm (Today),"Sanitised Service, Excellent Place, Tamper Proof Packaging, Elaborate Menu, Customizable Food, Fresh Food","Belgian Chocolate, Cheesecake, Pasta, Pizza","Shop 5, Pradeep Plaza, West Wing, Ganga Plano Building, Kharadi, Pune",73.9478581399,18.5552795444,https://www.zomato.com/pune/huber-holly-kharadi,₹500 for two people (approx.)
18523711,The Basil Deck,"North Indian, Continental, Italian, Beverages",4.1,580,4.1,580.0,4.2,635,12noon – 11pm (Today),"Authentic, Classy Ambience, Comfortable Seating Area, Parking Space, Family Crowd, Great Ambiance","Zucchini Suppa, Cheese Penne Pasta, Pesto Paneer, Sizzlers, Soups, Pasta","Opposite Poona Tyres, Market Yard Road, Bibvewadi, Pune",73.8629219681,18.4897824659,https://www.zomato.com/pune/the-basil-deck-bibvewadi,"₹1,200 for two people (approx.)"
13113,Mazzedar,"Rolls, Chinese, Momos, Biryani, North Indian, Fast Food",4.0,528,4.0,528.0,3.6,3560,11am – 11pm (Today),"Office Crowd, Economical, Cute Little Place, Combos, Reasonable Prices, Prompt Service","Chicken Manchurian, Chicken Momos, Chicken 65, Rolls, Chicken Dum Biryani, Corn","Shop 8, A.B.C Properties, Bhel Chowk, Nigdi, Pune",73.7709433213,18.6568069624,https://www.zomato.com/pune/mazzedar-nigdi,₹500 for two people (approx.)
19410233,Ankur Pavbhaji,"Street Food, Fast Food, Beverages, Shake",4.2,543,4.2,543.0,4.2,444,4pm – 12midnight (Today),"Nice Delivery, Service is Great and Fast, Sanitised Service, Best Price, Staff Behavior, Nice Packaging","Cheese Pavbhaji, Tawa Pulav, Milkshakes, Pav Bhaji, Juices, Pizza","12, Decision Towers, Near City Pride Theatre, Satara Road, Pune",73.8582914695,18.4879404602,https://www.zomato.com/pune/ankur-pavbhaji-satara-road,₹250 for two people (approx.)
13295,Panchali Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Shake",3.6,247,3.6,247.0,4.1,2658,"7am – 11am, 11:30am – 5pm, 7pm – 11:30pm (Today)","Good Options, Reasonable Rates, Atmosphere, Decent Place, Breakfast, Location","Masala Dosa, Pav Bhaji, Thali, Soup","Om Chambers, 711, Shivaji Nagar, JM, Road, Pune",73.85023579,18.5259244414,https://www.zomato.com/pune/panchali-restaurant-jm-road,₹550 for two people (approx.)
18551605,Gourmand Eatery,"Pizza, Burger, Pasta, Fast Food",4.4,593,4.4,593.0,4.0,1027,11am – 11pm (Today),"Design, Great Value, Seating Area, Friendly Staff, Chef, Concept","Chicken Peri Peri Pizza, Mexican Rice, Butter Chicken Pizza, Peri Peri Sauce, Pesto Pasta, Cupcakes","3/9, Shubhmangal Society, Senapati Bapat Road, Pune",73.8312098756,18.5316182914,https://www.zomato.com/gourmand-food-truck-food-truck,₹350 for two people (approx.)
18569092,Barometer,"Continental, Asian, North Indian, Finger Food",4.6,1630,4.6,1630.0,4.3,6517,7:30am – 10pm (Today),"Breakfast Menu, Cozy Ambience, Comfortable Seating, Great Vibe, Fancy Crowd, Fantastic Place","Lebanese Chicken, Basil Pesto Pasta, Sunny Side, Filtered Coffee, Sangria, Bacon","Shop 2, Chintamani Pride, Paschimanagri, City Pride Road, Kothrud, Pune",73.8189602271,18.4987788516,https://www.zomato.com/pune/barometer-kothrud,"₹1,500 for two people (approx.) Without alcohol"
6503454,Mountain High,"North Indian, Chinese, Seafood, Shake",3.8,293,3.8,293.0,4.0,3873,11am – 11:30pm (Today),"Bollywood Nights, Serving Size, Singer, Live Music, Family Place, Outdoor","Afghan Chicken, Murgh Reshmi Tikka, Tandoori Lollipop, Tandoori Chicken, Soup, Biryani","Shop 47/1B, Heaven Park, Near DP Line 4, Mohammad Wadi, Wanowrie, Pune",73.9097771421,18.4818486316,https://www.zomato.com/pune/mountain-high-wanowrie,"₹1,200 for two people (approx.) Without alcohol"
18292672,Blue Water,"North Indian, Chinese, Continental, Desserts, Italian, Pizza, Salad",4.5,3409,4.5,3409.0,4.4,2291,11am – 11:30pm (Today),"Live Music Performance, Good Food and Good Service, Live Singing, Singer, Great Services, Live Band","Mulligatawny Soup, Dahi Ke Sholey, Burnt Garlic Soup, Tawa Chicken, Cheese Corn Balls, Sizzling Brownie","Survey 4, Punnawale, Ward 55, Near Ravet Bridge, Ravet, Pune",73.7507560104,18.6361090154,https://www.zomato.com/pune/blue-water-ravet,"₹1,800 for two people (approx.) with alcohol"
19097520,Cafe Peter,"Beverages, Desserts, Fast Food, Continental, Italian, Shake",3.4,124,3.4,124.0,3.7,357,12noon – 10pm (Today),"Soft Music, Elaborate Menu, Good Place, Ambiance, Staff, Value for Money","Turkish Coffee, Ramen, Alfredo Pasta, Oreo Shake, Chocolate, Soup","Shop 5 & 6, Survey 66/4, J Wing, Sai Square, Pimple Saudagar, Pune",73.8020576164,18.5934373173,https://www.zomato.com/pune/cafe-peter-pimple-saudagar,₹600 for two people (approx.)
